Country,Rank,PowerIndex,PwrIndx_Prev,Budget_USD,Personnel_Active,Personnel_Reserve,Aircraft_Total,Tanks,Navy_Total
United States,1,0.0699,0.0712,831000000000,1328000,795000,13209,4650,472
Russia,2,0.0702,0.0714,109000000000,1320000,2000000,4255,14777,598
China,3,0.0706,0.0722,227000000000,2035000,510000,3304,5000,730
India,4,0.1023,0.1025,740000000000,1455000,1155000,2296,4614,294
South Korea,5,0.1416,0.1505,447000000000,600000,3100000,1576,2501,157
United Kingdom,6,0.1443,0.1435,628000000000,184860,224500,664,213,117
Japan,7,0.1601,0.1711,530000000000,247150,56000,1459,1004,155
Turkey,8,0.1697,0.2016,40000000000,512000,380000,1069,2231,186
Pakistan,9,0.1711,0.1694,6300000000,654000,550000,1434,3742,114
Italy,10,0.1863,0.1973,31600000000,165500,18300,800,200,309
France,11,0.1878,0.1848,49700000000,204000,141050,972,222,128
Brazil,12,0.1944,0.2151,24000000000,360000,1340000,628,469,134
Indonesia,13,0.2251,0.2221,25000000000,400000,400000,474,313,333
Iran,14,0.2269,0.2712,10000000000,610000,350000,551,1996,101
Egypt,15,0.2283,0.2224,9400000000,450000,480000,1080,5340,237
Australia,16,0.2515,0.2567,31000000000,59000,20000,452,59,43
Israel,17,0.2596,0.2757,24400000000,170000,465000,612,1370,67
Ukraine,18,0.2598,0.2516,42000000000,900000,1000000,321,1777,104
Germany,19,0.2796,0.3881,55800000000,181500,34000,601,295,64
Spain,20,0.2882,0.3556,19000000000,120000,15000,513,327,166
Poland,21,0.2917,0.3406,38000000000,160000,0,445,612,86
Vietnam,22,0.3158,0.2855,6200000000,470000,5000000,290,1829,65
Saudi Arabia,23,0.3235,0.3626,71700000000,227000,0,914,1485,57
Taiwan,24,0.3302,0.3503,19000000000,169000,1657000,750,1110,93
Thailand,25,0.3389,0.3738,5800000000,350000,200000,488,624,115
Algeria,26,0.3589,0.3911,21600000000,130000,150000,580,1844,201
Canada,27,0.3815,0.3956,26000000000,68000,27000,422,82,61
Argentina,28,0.3823,0.4243,3000000000,72100,0,230,417,44
Sweden,29,0.4009,0.4866,9200000000,16000,22000,210,121,357
Singapore,30,0.4081,0.4613,13000000000,72000,312000,249,170,40
Greece,31,0.4349,0.4621,7900000000,142000,220500,631,1365,120
Mexico,32,0.4528,0.4687,7000000000,250000,110000,457,0,194
South Africa,33,0.4632,0.4885,2800000000,72000,15000,231,195,47
Norway,34,0.4764,0.5289,8200000000,23000,40000,130,52,55
North Korea,35,0.4788,0.5118,4000000000,1280000,600000,951,5845,505
Nigeria,36,0.5587,0.5553,3000000000,135000,0,158,253,105
Netherlands,37,0.5644,0.5357,16000000000,35000,6500,161,0,61
Romania,38,0.5735,0.6435,8500000000,71500,50000,147,441,45
United Arab Emirates,39,0.5891,0.6053,15000000000,63000,0,565,1166,79
Denmark,40,0.5921,0.6723,6000000000,16000,43000,119,44,79
Iraq,41,0.5926,0.7365,5200000000,200000,0,194,1525,63
Kazakhstan,42,0.5961,0.6554,2300000000,45000,32000,233,400,15
Azerbaijan,43,0.6011,0.6212,3000000000,67000,300000,152,920,38
Switzerland,44,0.6023,0.6911,5800000000,24000,120000,158,134,0
Chile,45,0.6071,0.6221,5500000000,80000,40000,274,310,128
Colombia,46,0.6121,0.7011,11000000000,295000,0,466,0,215
Portugal,47,0.6251,0.7411,4000000000,27000,211600,105,37,42
Belgium,48,0.6341,0.7821,6500000000,24500,4500,111,0,17
Uzbekistan,49,0.6511,0.7921,1000000000,50000,15000,215,420,0
Finland,50,0.6651,0.8011,6200000000,24000,900000,170,239,246
